                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.5619,                0.46827,                 1.0407,                0.81427,                  0.783,                0.83388,                0.51901,                 1.5135,                 1.0437,                  2.073,             0.00029713,             0.00029713,             0.00029713
                     79,                0.57478,                0.47785,                 1.0477,                0.83568,                0.77053,                0.84315,                0.53037,                 1.5016,                 1.0386,                 2.0374,             0.00028475,             0.00028475,             0.00028475
                     80,                0.56404,                0.46997,                 1.0383,                0.83799,                0.74766,                 0.8261,                0.53196,                 1.5204,                  1.086,                 2.0482,             0.00027237,             0.00027237,             0.00027237
                     81,                0.53719,                0.43538,                 1.0221,                0.85685,                0.77419,                0.82708,                0.52894,                 1.4991,                  1.085,                 2.0065,                0.00026,                0.00026,                0.00026
                     82,                0.54724,                0.43553,                 1.0039,                0.84483,                 0.7554,                0.83041,                0.53376,                  1.517,                 1.0353,                  2.064,             0.00024762,             0.00024762,             0.00024762
                     83,                0.55648,                 0.4398,                 1.0136,                0.81395,                0.81596,                0.83962,                0.54238,                 1.4947,                0.99913,                 2.0597,             0.00023525,             0.00023525,             0.00023525
                     84,                0.54037,                0.45326,                 1.0341,                0.80681,                0.80623,                0.83833,                0.53882,                 1.4925,                 1.0337,                 2.0334,             0.00022288,             0.00022288,             0.00022288
                     85,                0.52392,                0.43752,                 1.0307,                0.84745,                0.77199,                0.83373,                0.54224,                 1.4877,                 1.0214,                  2.028,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.5407,                0.45164,                 1.0302,                0.84219,                0.80582,                0.84868,                0.54417,                  1.483,                0.98705,                 2.0652,             0.00019813,             0.00019813,             0.00019813
                     87,                0.52789,                0.43482,                 1.0209,                0.81399,                0.79754,                0.84521,                0.54013,                 1.4685,                0.99058,                 2.0641,             0.00018575,             0.00018575,             0.00018575
                     88,                0.54132,                0.45211,                 1.0511,                0.85256,                0.76701,                0.83693,                0.54462,                 1.4746,                0.99909,                 2.0442,             0.00017338,             0.00017338,             0.00017338
                     89,                0.54355,                0.43589,                 1.0197,                0.86759,                0.76337,                0.83432,                0.53716,                 1.4894,                 0.9839,                 2.0589,               0.000161,               0.000161,               0.000161
                     90,                0.53462,                0.43518,                 1.0387,                0.81932,                0.79598,                0.83964,                0.54191,                 1.4784,                0.97611,                 2.0533,             0.00014862,             0.00014862,             0.00014862
                     91,                0.50641,                0.40415,                 1.0113,                0.86435,                0.77623,                 0.8499,                0.53928,                 1.4818,                0.95238,                 2.0934,             0.00013625,             0.00013625,             0.00013625
                     92,                0.48781,                0.37796,                0.99034,                0.77008,                0.81876,                0.83497,                 0.5375,                 1.4867,                 1.0275,                 2.0836,             0.00012387,             0.00012387,             0.00012387
                     93,                0.47446,                0.37533,                0.99839,                0.84608,                0.75824,                0.84547,                0.54698,                 1.4627,                 1.0122,                  2.056,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.4625,                 0.3582,                0.98052,                  0.827,                0.78168,                0.84878,                0.53568,                 1.4878,                 0.9838,                 2.0921,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.46436,                0.35229,                0.96768,                0.83678,                0.78847,                0.84223,                0.54128,                 1.4865,                 1.0179,                 2.0611,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.49577,                0.38471,                 1.0045,                0.83092,                0.79112,                0.83524,                0.54053,                 1.4869,                 1.0155,                 2.0538,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.45665,                   0.36,                0.99726,                0.83283,                0.80313,                0.84469,                0.54591,                 1.4832,                 1.0084,                 2.0627,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.43433,                 0.3414,                0.95721,                0.87541,                0.76898,                0.84456,                0.54107,                 1.4874,                  1.002,                 2.0793,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.45897,                 0.3659,                 0.9907,                0.85717,                0.77757,                0.84553,                 0.5495,                 1.4823,                 1.0057,                 2.0727,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.44587,                0.34635,                0.97833,                0.87272,                0.77648,                0.84787,                0.54413,                  1.481,                 1.0035,                  2.079,             2.4875e-05,             2.4875e-05,             2.4875e-05
